second,mm_ss,gemini-3.6-flash,gemini-3.5-flash,gemini-3.5-flash-lite,gemini-3-flash,gemini-3.1-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite
155,2:35,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] โดยที่มีเวลาให้พี่ดูไม่ถึง 2 ชั่วโมง ตั…,[Speaker 3] แต่ว่า ก็อยากจะย้ำฝ่ายเลขา ว่าเอกสารฉบั…,
156,2:36,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] โดยที่มีเวลาให้พี่ดูไม่ถึง 2 ชั่วโมง ตั…,[Speaker 3] แต่ว่า ก็อยากจะย้ำฝ่ายเลขา ว่าเอกสารฉบั…,[Speaker 2] ก็ให้อภัย
157,2:37,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] โดยที่มีเวลาให้พี่ดูไม่ถึง 2 ชั่วโมง ตั…,,[Speaker 2] เพราะถ้าคุณเป็นมืออาชีพจริงๆ บางข้อความ…
158,2:38,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] โดยที่มีเวลาให้พี่ดูไม่ถึง 2 ชั่วโมง ตั…,,[Speaker 2] เพราะถ้าคุณเป็นมืออาชีพจริงๆ บางข้อความ…
159,2:39,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ น้องที่เป็นเลขาผู้เชี่ยวชาญเพิ่งมาใ…,[Speaker 3] โดยที่มีเวลาให้พี่ดูไม่ถึง 2 ชั่วโมง,[Speaker 2] เพราะถ้าคุณเป็นมืออาชีพจริงๆ บางข้อความ…
160,2:40,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ น้องที่เป็นเลขาผู้เชี่ยวชาญเพิ่งมาใ…,[Speaker 3] โดยที่มีเวลาให้พี่ดูไม่ถึง 2 ชั่วโมง,[Speaker 2] เพราะถ้าคุณเป็นมืออาชีพจริงๆ บางข้อความ…
161,2:41,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ น้องที่เป็นเลขาผู้เชี่ยวชาญเพิ่งมาใ…,[Speaker 3] โดยที่มีเวลาให้พี่ดูไม่ถึง 2 ชั่วโมง,[Speaker 2] สมควรจะส่งให้ท่านกรรมการอย่างไง
162,2:42,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ น้องที่เป็นเลขาผู้เชี่ยวชาญเพิ่งมาใ…,[Speaker 3] โดยที่มีเวลาให้พี่ดูไม่ถึง 2 ชั่วโมง,
163,2:43,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ น้องที่เป็นเลขาผู้เชี่ยวชาญเพิ่งมาใ…,,[Speaker 2] แต่น้องก็ น่าจะดีที่สุดแล้วในบันดาพี่ที…
164,2:44,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ น้องที่เป็นเลขาผู้เชี่ยวชาญเพิ่งมาใ…,[Speaker 3] ตัวหนังสือก็เล็กกะปิ๊วเดียว จะปิ๊งมาทำไ…,[Speaker 2] แต่น้องก็ น่าจะดีที่สุดแล้วในบันดาพี่ที…
165,2:45,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ น้องที่เป็นเลขาผู้เชี่ยวชาญเพิ่งมาใ…,[Speaker 3] ตัวหนังสือก็เล็กกะปิ๊วเดียว จะปิ๊งมาทำไ…,[Speaker 2] แต่น้องก็ น่าจะดีที่สุดแล้วในบันดาพี่ที…
166,2:46,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ น้องที่เป็นเลขาผู้เชี่ยวชาญเพิ่งมาใ…,[Speaker 3] ตัวหนังสือก็เล็กกะปิ๊วเดียว จะปิ๊งมาทำไ…,[Speaker 1] ไม่เป็นไร ไม่เป็นไร ก็
167,2:47,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ น้องที่เป็นเลขาผู้เชี่ยวชาญเพิ่งมาใ…,,[Speaker 1] ไม่เป็นไร ไม่เป็นไร ก็
168,2:48,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ น้องที่เป็นเลขาผู้เชี่ยวชาญเพิ่งมาใ…,,
169,2:49,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ น้องที่เป็นเลขาผู้เชี่ยวชาญเพิ่งมาใ…,[Speaker 3] แต่ น้องที่เป็นเลขามืออาชีพพึ่งมาใหม่ ก…,[Speaker 1] รอ ดู ผลงาน ต่อไปนะครับ
170,2:50,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ น้องที่เป็นเลขาผู้เชี่ยวชาญเพิ่งมาใ…,[Speaker 3] แต่ น้องที่เป็นเลขามืออาชีพพึ่งมาใหม่ ก…,[Speaker 1] รอ ดู ผลงาน ต่อไปนะครับ
171,2:51,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ น้องที่เป็นเลขาผู้เชี่ยวชาญเพิ่งมาใ…,[Speaker 3] แต่ น้องที่เป็นเลขามืออาชีพพึ่งมาใหม่ ก…,[Speaker 1] โอเค ครับ
172,2:52,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ น้องที่เป็นเลขาผู้เชี่ยวชาญเพิ่งมาใ…,[Speaker 3] แต่ น้องที่เป็นเลขามืออาชีพพึ่งมาใหม่ ก…,[Speaker 1] เข้าสู่วาระที่ 2 แล้วก็เข้าสู่วาระรับรอ…
173,2:53,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] สมควรจะส่งให้คณะกรรมการอย่างไร,[Speaker 3] แต่ น้องที่เป็นเลขามืออาชีพพึ่งมาใหม่ ก…,[Speaker 1] เข้าสู่วาระที่ 2 แล้วก็เข้าสู่วาระรับรอ…
174,2:54,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] สมควรจะส่งให้คณะกรรมการอย่างไร,[Speaker 3] แต่ น้องที่เป็นเลขามืออาชีพพึ่งมาใหม่ ก…,[Speaker 1] เข้าสู่วาระที่ 2 แล้วก็เข้าสู่วาระรับรอ…
175,2:55,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] สมควรจะส่งให้คณะกรรมการอย่างไร,[Speaker 3] แต่ น้องที่เป็นเลขามืออาชีพพึ่งมาใหม่ ก…,[Speaker 1] เข้าสู่วาระที่ 2 แล้วก็เข้าสู่วาระรับรอ…
176,2:56,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 1] แล้วก็จริงๆ ส่งให้ผม อันนี้ก็ไม่ใช่ วาร…,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ก็น้องก็น่าจะดีที่สุดแล้วในบรรดาที่เ…,[Speaker 3] แต่ น้องที่เป็นเลขามืออาชีพพึ่งมาใหม่ ก…,
177,2:57,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ก็น้องก็น่าจะดีที่สุดแล้วในบรรดาที่เ…,[Speaker 3] แต่ น้องที่เป็นเลขามืออาชีพพึ่งมาใหม่ ก…,[Speaker 3] ค่ะ ครับ ครั้งที่
178,2:58,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ก็น้องก็น่าจะดีที่สุดแล้วในบรรดาที่เ…,,[Speaker 3] ค่ะ ครับ ครั้งที่
179,2:59,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ก็น้องก็น่าจะดีที่สุดแล้วในบรรดาที่เ…,[Speaker 3] ก็ให้โอกาส เพราะถ้าคุณเป็นมืออาชีพจริงๆ…,[Speaker 3] เอ่อ ครั้ง
180,3:00,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ก็น้องก็น่าจะดีที่สุดแล้วในบรรดาที่เ…,[Speaker 3] ก็ให้โอกาส เพราะถ้าคุณเป็นมืออาชีพจริงๆ…,[Speaker 3] ขออนุญาตครับ
181,3:01,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ก็น้องก็น่าจะดีที่สุดแล้วในบรรดาที่เ…,[Speaker 3] ก็ให้โอกาส เพราะถ้าคุณเป็นมืออาชีพจริงๆ…,
182,3:02,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] แต่ก็น้องก็น่าจะดีที่สุดแล้วในบรรดาที่เ…,[Speaker 3] ก็ให้โอกาส เพราะถ้าคุณเป็นมืออาชีพจริงๆ…,[Speaker 3] ครั้งเนี้ย พี่เล็กมีให้ นำปรับข้อความนะ…
183,3:03,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] ก็ไม่เป็นไรก็ไม่เป็นไรก็รอดูผลงานต่อไปน…,[Speaker 3] ก็ให้โอกาส เพราะถ้าคุณเป็นมืออาชีพจริงๆ…,[Speaker 3] ครั้งเนี้ย พี่เล็กมีให้ นำปรับข้อความนะ…
184,3:04,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] ก็ไม่เป็นไรก็ไม่เป็นไรก็รอดูผลงานต่อไปน…,[Speaker 3] ก็ให้โอกาส เพราะถ้าคุณเป็นมืออาชีพจริงๆ…,[Speaker 3] ครั้งเนี้ย พี่เล็กมีให้ นำปรับข้อความนะ…
185,3:05,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] ก็ไม่เป็นไรก็ไม่เป็นไรก็รอดูผลงานต่อไปน…,[Speaker 3] ก็ให้โอกาส เพราะถ้าคุณเป็นมืออาชีพจริงๆ…,[Speaker 3] ครั้งเนี้ย พี่เล็กมีให้ นำปรับข้อความนะ…
186,3:06,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] ก็ไม่เป็นไรก็ไม่เป็นไรก็รอดูผลงานต่อไปน…,[Speaker 3] ก็ให้โอกาส เพราะถ้าคุณเป็นมืออาชีพจริงๆ…,
187,3:07,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] ก็ไม่เป็นไรก็ไม่เป็นไรก็รอดูผลงานต่อไปน…,[Speaker 3] ก็ให้โอกาส เพราะถ้าคุณเป็นมืออาชีพจริงๆ…,[Speaker 1] ถ้า ยังไม่เสร็จก็คือ
188,3:08,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] ก็ไม่เป็นไรก็ไม่เป็นไรก็รอดูผลงานต่อไปน…,,[Speaker 1] รับการประชุมครั้งที่ 15
189,3:09,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] ค่ะ ครั้งนั้นเดี๋ยวให้ขออนุญาตค่ะครั้งเ…,[Speaker 3] สมควรจะส่งให้ท่านกรรมการอย่างไร,[Speaker 1] เนี่ย เอ่อ ขอไปก่อนนะครับ
190,3:10,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] ค่ะ ครั้งนั้นเดี๋ยวให้ขออนุญาตค่ะครั้งเ…,[Speaker 3] สมควรจะส่งให้ท่านกรรมการอย่างไร,[Speaker 1] เนี่ย เอ่อ ขอไปก่อนนะครับ
191,3:11,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] ค่ะ ครั้งนั้นเดี๋ยวให้ขออนุญาตค่ะครั้งเ…,,
192,3:12,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] ค่ะ ครั้งนั้นเดี๋ยวให้ขออนุญาตค่ะครั้งเ…,[Speaker 3] แต่ ก็ น้องก็น่าจะดีที่สุดแล้วในบรรดาพี…,[Speaker 1] แล้วก็ ประชุม ครั้งต่อไป ก็ โน้ตไว้ด้วย…
193,3:13,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] ค่ะ ครั้งนั้นเดี๋ยวให้ขออนุญาตค่ะครั้งเ…,[Speaker 3] แต่ ก็ น้องก็น่าจะดีที่สุดแล้วในบรรดาพี…,[Speaker 1] แล้วก็ ประชุม ครั้งต่อไป ก็ โน้ตไว้ด้วย…
194,3:14,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] ค่ะ ครั้งนั้นเดี๋ยวให้ขออนุญาตค่ะครั้งเ…,[Speaker 3] แต่ ก็ น้องก็น่าจะดีที่สุดแล้วในบรรดาพี…,[Speaker 1] แล้วก็ ประชุม ครั้งต่อไป ก็ โน้ตไว้ด้วย…
195,3:15,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] ขออนุญาตยกไป,[Speaker 3] แต่ ก็ น้องก็น่าจะดีที่สุดแล้วในบรรดาพี…,
196,3:16,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 2] ขออนุญาตยกไป,[Speaker 3] แต่ ก็ น้องก็น่าจะดีที่สุดแล้วในบรรดาพี…,[Speaker 1] เข้าสู่เรื่องเพื่อทราบครับ
197,3:17,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] งั้นงั้นงั้นก็คือรายงานการประชุมครั้งที…,[Speaker 3] แต่ ก็ น้องก็น่าจะดีที่สุดแล้วในบรรดาพี…,[Speaker 1] เชิญครับ
198,3:18,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] งั้นงั้นงั้นก็คือรายงานการประชุมครั้งที…,[Speaker 3] แต่ ก็ น้องก็น่าจะดีที่สุดแล้วในบรรดาพี…,
199,3:19,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] งั้นงั้นงั้นก็คือรายงานการประชุมครั้งที…,[Speaker 1] ไม่เป็นไร ไม่เป็นไร ก็ รอดูผลงานต่อไปนะ…,[Speaker 4] วาระที่ 3.1 นะครับ รายงานความคืบหน้าในก…
200,3:20,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] งั้นงั้นงั้นก็คือรายงานการประชุมครั้งที…,[Speaker 1] ไม่เป็นไร ไม่เป็นไร ก็ รอดูผลงานต่อไปนะ…,[Speaker 4] วาระที่ 3.1 นะครับ รายงานความคืบหน้าในก…
201,3:21,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] งั้นงั้นงั้นก็คือรายงานการประชุมครั้งที…,[Speaker 1] ไม่เป็นไร ไม่เป็นไร ก็ รอดูผลงานต่อไปนะ…,
202,3:22,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] งั้นงั้นงั้นก็คือรายงานการประชุมครั้งที…,,
203,3:23,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] งั้นงั้นงั้นก็คือรายงานการประชุมครั้งที…,[Speaker 1] อ่า โอเค นะ เข้าสู่ เข้าสู่วาระรับรองรา…,[Speaker 4] นะครับ
204,3:24,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] งั้นงั้นงั้นก็คือรายงานการประชุมครั้งที…,[Speaker 1] อ่า โอเค นะ เข้าสู่ เข้าสู่วาระรับรองรา…,
205,3:25,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] งั้นงั้นงั้นก็คือรายงานการประชุมครั้งที…,[Speaker 1] อ่า โอเค นะ เข้าสู่ เข้าสู่วาระรับรองรา…,
206,3:26,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] งั้นงั้นงั้นก็คือรายงานการประชุมครั้งที…,[Speaker 1] อ่า โอเค นะ เข้าสู่ เข้าสู่วาระรับรองรา…,[Speaker 4] เอ่อ รายงานความคืบหน้า นะครับ ในการเข้า…
207,3:27,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] งั้นงั้นงั้นก็คือรายงานการประชุมครั้งที…,[Speaker 1] อ่า โอเค นะ เข้าสู่ เข้าสู่วาระรับรองรา…,[Speaker 4] เอ่อ รายงานความคืบหน้า นะครับ ในการเข้า…
208,3:28,[Speaker 1] วันนี้ก็เป็นการประชุมครั้งที่ 16 นะครับ…,[Speaker 3] ขอ ขออนุญาตเสริมท่านประธานนิดนึงน่ะค่ะ …,[Speaker 1] วาระนี้ก็เป็นการประชุม ครั้งที่ 16 นะหะ…,,[Speaker 1] งั้นงั้นงั้นก็คือรายงานการประชุมครั้งที…,[Speaker 3] ครับ,[Speaker 4] เอ่อ รายงานความคืบหน้า นะครับ ในการเข้า…
