second,mm_ss,gemini-3.6-flash,gemini-3.5-flash,gemini-3.5-flash-lite,gemini-3.1-flash,gemini-3.1-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite
136,2:16,[Speaker 4] ถ้าผมจำไม่ผิด ถ้าผมจำไม่ผิดคือ 18 ถ้างั…,[Speaker 3] ต้องไปแก้ แก้ครั้งที่แล้วใช่ไหม,[Speaker 2] งั้นก็ไปไปแซกไปในวันที่ 21 แล้วก็โทรบอก…,,[Speaker 1] ก็ เลย แก้ แก้ ครั้ง ที่ แล้ว นะ ผม หรื…,[Speaker 5] ผม หรือ ถ้า ผม ดู 16,
137,2:17,[Speaker 4] ถ้าผมจำไม่ผิด ถ้าผมจำไม่ผิดคือ 18 ถ้างั…,[Speaker 4] ใช่ ถ้าอย่างนั้นใส่ 17 ได้,[Speaker 2] งั้นก็ไปไปแซกไปในวันที่ 21 แล้วก็โทรบอก…,,[Speaker 1] ก็ เลย แก้ แก้ ครั้ง ที่ แล้ว นะ ผม หรื…,[Speaker 5] ผม หรือ ถ้า ผม ดู 16,
138,2:18,[Speaker 4] ถ้าผมจำไม่ผิด ถ้าผมจำไม่ผิดคือ 18 ถ้างั…,[Speaker 4] ใช่ ถ้าอย่างนั้นใส่ 17 ได้,[Speaker 2] งั้นก็ไปไปแซกไปในวันที่ 21 แล้วก็โทรบอก…,,[Speaker 1] ก็ เลย แก้ แก้ ครั้ง ที่ แล้ว นะ ผม หรื…,[Speaker 5] ผม หรือ ถ้า ผม ดู 16,
139,2:19,[Speaker 4] ถ้าผมจำไม่ผิด ถ้าผมจำไม่ผิดคือ 18 ถ้างั…,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคน เขาก็โอเค …,[Speaker 1] เอ่อไม่ต้องบอกบอกผมรับทราบแล้วก็ในนั้นน…,,,[Speaker 5] ถ้า งั้น ใส่ 17 ได้,
140,2:20,[Speaker 2] 17,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคน เขาก็โอเค …,[Speaker 1] เอ่อไม่ต้องบอกบอกผมรับทราบแล้วก็ในนั้นน…,,,[Speaker 1] ได้,
141,2:21,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคนทุน มันโอเค…,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคน เขาก็โอเค …,[Speaker 1] เอ่อไม่ต้องบอกบอกผมรับทราบแล้วก็ในนั้นน…,,[Speaker 1] เพราะ ว่า บอร์ด อย่าง มัน มี หลาย คน ทุ…,[Speaker 5] เพราะว่า บอร์ด ใหญ่ มัน มี หลาย คน ทุน …,
142,2:22,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคนทุน มันโอเค…,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคน เขาก็โอเค …,[Speaker 1] เอ่อไม่ต้องบอกบอกผมรับทราบแล้วก็ในนั้นน…,,[Speaker 1] เพราะ ว่า บอร์ด อย่าง มัน มี หลาย คน ทุ…,[Speaker 5] เพราะว่า บอร์ด ใหญ่ มัน มี หลาย คน ทุน …,
143,2:23,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคนทุน มันโอเค…,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคน เขาก็โอเค …,[Speaker 1] เอ่อไม่ต้องบอกบอกผมรับทราบแล้วก็ในนั้นน…,,[Speaker 1] เพราะ ว่า บอร์ด อย่าง มัน มี หลาย คน ทุ…,[Speaker 5] เพราะว่า บอร์ด ใหญ่ มัน มี หลาย คน ทุน …,
144,2:24,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคนทุน มันโอเค…,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคน เขาก็โอเค …,[Speaker 1] เอ่อไม่ต้องบอกบอกผมรับทราบแล้วก็ในนั้นน…,,[Speaker 1] เพราะ ว่า บอร์ด อย่าง มัน มี หลาย คน ทุ…,[Speaker 5] เพราะว่า บอร์ด ใหญ่ มัน มี หลาย คน ทุน …,
145,2:25,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคนทุน มันโอเค…,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคน เขาก็โอเค …,[Speaker 1] เอ่อไม่ต้องบอกบอกผมรับทราบแล้วก็ในนั้นน…,,[Speaker 1] เพราะ ว่า บอร์ด อย่าง มัน มี หลาย คน ทุ…,[Speaker 5] เพราะว่า บอร์ด ใหญ่ มัน มี หลาย คน ทุน …,
146,2:26,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคนทุน มันโอเค…,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคน เขาก็โอเค …,[Speaker 1] เอ่อไม่ต้องบอกบอกผมรับทราบแล้วก็ในนั้นน…,,[Speaker 1] เพราะ ว่า บอร์ด อย่าง มัน มี หลาย คน ทุ…,[Speaker 5] เพราะว่า บอร์ด ใหญ่ มัน มี หลาย คน ทุน …,
147,2:27,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคนทุน มันโอเค…,[Speaker 3] เอสบอร์ดรอบที่แล้ว 20 มกราคมมาเมื่อไหร่…,[Speaker 2] ประมาณว่าเนี่ยอยากโฟกัส 2 เนี่ยอยากหาคน…,,[Speaker 1] เพราะ ว่า บอร์ด อย่าง มัน มี หลาย คน ทุ…,[Speaker 5] เพราะว่า บอร์ด ใหญ่ มัน มี หลาย คน ทุน …,
148,2:28,[Speaker 4] เพราะว่าบอร์ดใหญ่มันมีหลายคนทุน มันโอเค…,[Speaker 3] เอสบอร์ดรอบที่แล้ว 20 มกราคมมาเมื่อไหร่…,[Speaker 2] ประมาณว่าเนี่ยอยากโฟกัส 2 เนี่ยอยากหาคน…,,[Speaker 2] ครั้ง ก่อน ที่ แล้ว วัน ที่ 20 มัน หลัง…,[Speaker 1] รับ บอร์ด ที่ แล้ว คือ 20 มา หลัง มา อี…,
149,2:29,[Speaker 3] รอบที่แล้ว วันที่ 20 มันหลังมันเท่าไหร่,[Speaker 3] เอสบอร์ดรอบที่แล้ว 20 มกราคมมาเมื่อไหร่…,[Speaker 2] ประมาณว่าเนี่ยอยากโฟกัส 2 เนี่ยอยากหาคน…,,[Speaker 2] ครั้ง ก่อน ที่ แล้ว วัน ที่ 20 มัน หลัง…,[Speaker 1] รับ บอร์ด ที่ แล้ว คือ 20 มา หลัง มา อี…,
150,2:30,[Speaker 3] รอบที่แล้ว วันที่ 20 มันหลังมันเท่าไหร่,[Speaker 3] เอสบอร์ดรอบที่แล้ว 20 มกราคมมาเมื่อไหร่…,[Speaker 2] ประมาณว่าเนี่ยอยากโฟกัส 2 เนี่ยอยากหาคน…,,[Speaker 2] ครั้ง ก่อน ที่ แล้ว วัน ที่ 20 มัน หลัง…,[Speaker 1] รับ บอร์ด ที่ แล้ว คือ 20 มา หลัง มา อี…,
151,2:31,[Speaker 3] รอบที่แล้ว วันที่ 20 มันหลังมันเท่าไหร่,[Speaker 3] เอสบอร์ดรอบที่แล้ว 20 มกราคมมาเมื่อไหร่…,[Speaker 2] ประมาณว่าเนี่ยอยากโฟกัส 2 เนี่ยอยากหาคน…,,,,
152,2:32,[Speaker 2] 21 กรกฎาคมค่ะ,[Speaker 2] 21 21 กรกฎาคมค่ะ,[Speaker 2] ประมาณว่าเนี่ยอยากโฟกัส 2 เนี่ยอยากหาคน…,,,,
153,2:33,[Speaker 2] 21 กรกฎาคมค่ะ,[Speaker 2] 21 21 กรกฎาคมค่ะ,[Speaker 2] ประมาณว่าเนี่ยอยากโฟกัส 2 เนี่ยอยากหาคน…,,[Speaker 2] 21 21 กรกฎาคม ค่ะ,[Speaker 5] อืม 21,
154,2:34,[Speaker 2] 21 กรกฎาคมค่ะ,[Speaker 2] 21 21 กรกฎาคมค่ะ,[Speaker 2] ประมาณว่าเนี่ยอยากโฟกัส 2 เนี่ยอยากหาคน…,,[Speaker 2] 21 21 กรกฎาคม ค่ะ,[Speaker 4] 21 กรกฎาคม ค่ะ,
155,2:35,[Speaker 4] อืม,[Speaker 3] ลงทุนวันที่ 16,[Speaker 2] ประมาณว่าเนี่ยอยากโฟกัส 2 เนี่ยอยากหาคน…,,[Speaker 2] 21 21 กรกฎาคม ค่ะ,[Speaker 4] 21 กรกฎาคม ค่ะ,
156,2:36,[Speaker 4] อืม,[Speaker 3] ลงทุนวันที่ 16,[Speaker 2] ประมาณว่าเนี่ยอยากโฟกัส 2 เนี่ยอยากหาคน…,,,,
157,2:37,[Speaker 2] ลงทนวันที่ 16,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] ประมาณว่าเนี่ยอยากโฟกัส 2 เนี่ยอยากหาคน…,,[Speaker 1] อือ ลง ทุน วัน ที่ 16,,
158,2:38,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] ประมาณว่าเนี่ยอยากโฟกัส 2 เนี่ยอยากหาคน…,,[Speaker 1] อือ ลง ทุน วัน ที่ 16,[Speaker 2] ลงทุน วันที่ 16,
159,2:39,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] ประมาณว่าเนี่ยอยากโฟกัส 2 เนี่ยอยากหาคน…,,[Speaker 1] อือ ลง ทุน วัน ที่ 16,,
160,2:40,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] คือหมายถึงว่าคุณคุณปุ้มเนี่ยอยากโฟกัสคน…,,[Speaker 1] ถ้า งั้น ก็ ไป ไป แซ่บ ใน วัน ที่ 21 นะ,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
161,2:41,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] คือหมายถึงว่าคุณคุณปุ้มเนี่ยอยากโฟกัสคน…,,[Speaker 1] ถ้า งั้น ก็ ไป ไป แซ่บ ใน วัน ที่ 21 นะ,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
162,2:42,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] คือหมายถึงว่าคุณคุณปุ้มเนี่ยอยากโฟกัสคน…,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
163,2:43,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] คือหมายถึงว่าคุณคุณปุ้มเนี่ยอยากโฟกัสคน…,,[Speaker 1] แล้ว ก็ โทร บอก บอร์ด นะ,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
164,2:44,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] คือหมายถึงว่าคุณคุณปุ้มเนี่ยอยากโฟกัสคน…,,[Speaker 1] แล้ว ก็ โทร บอก บอร์ด นะ,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
165,2:45,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] คือหมายถึงว่าคุณคุณปุ้มเนี่ยอยากโฟกัสคน…,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
166,2:46,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] คือหมายถึงว่าคุณคุณปุ้มเนี่ยอยากโฟกัสคน…,,[Speaker 1] ไม่ ต้อง บอก หรอก ผม รับ ทราบ แล้ว ก็ ใ…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
167,2:47,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] จริงๆ จริงๆเวลาโทรไปบอกโทรไปบอกเลยได้ ไ…,,[Speaker 1] ไม่ ต้อง บอก หรอก ผม รับ ทราบ แล้ว ก็ ใ…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
168,2:48,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] จริงๆ จริงๆเวลาโทรไปบอกโทรไปบอกเลยได้ ไ…,,[Speaker 1] ไม่ ต้อง บอก หรอก ผม รับ ทราบ แล้ว ก็ ใ…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
169,2:49,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] จริงๆ จริงๆเวลาโทรไปบอกโทรไปบอกเลยได้ ไ…,,[Speaker 1] ไม่ ต้อง บอก หรอก ผม รับ ทราบ แล้ว ก็ ใ…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
170,2:50,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] จริงๆ จริงๆเวลาโทรไปบอกโทรไปบอกเลยได้ ไ…,,[Speaker 1] ไม่ ต้อง บอก หรอก ผม รับ ทราบ แล้ว ก็ ใ…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
171,2:51,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] จริงๆ จริงๆเวลาโทรไปบอกโทรไปบอกเลยได้ ไ…,,[Speaker 1] คือ ผม ขอ ให้ เห็น ผล ก็ คือ ประมาณ ว่า…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
172,2:52,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] ได้ค่ะ มีคำถาม เพราะว่า ตอนเนี้ย ทาง เอ…,,[Speaker 1] คือ ผม ขอ ให้ เห็น ผล ก็ คือ ประมาณ ว่า…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
173,2:53,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] ได้ค่ะ มีคำถาม เพราะว่า ตอนเนี้ย ทาง เอ…,,[Speaker 1] คือ ผม ขอ ให้ เห็น ผล ก็ คือ ประมาณ ว่า…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
174,2:54,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] ได้ค่ะ มีคำถาม เพราะว่า ตอนเนี้ย ทาง เอ…,,[Speaker 1] คือ ผม ขอ ให้ เห็น ผล ก็ คือ ประมาณ ว่า…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
175,2:55,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] ได้ค่ะ มีคำถาม เพราะว่า ตอนเนี้ย ทาง เอ…,,[Speaker 1] คือ ผม ขอ ให้ เห็น ผล ก็ คือ ประมาณ ว่า…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
176,2:56,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] ได้ค่ะ มีคำถาม เพราะว่า ตอนเนี้ย ทาง เอ…,,[Speaker 1] คือ ผม ขอ ให้ เห็น ผล ก็ คือ ประมาณ ว่า…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
177,2:57,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] ได้ค่ะ มีคำถาม เพราะว่า ตอนเนี้ย ทาง เอ…,,[Speaker 1] คือ ผม ขอ ให้ เห็น ผล ก็ คือ ประมาณ ว่า…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
178,2:58,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] ได้ค่ะ มีคำถาม เพราะว่า ตอนเนี้ย ทาง เอ…,,[Speaker 1] คือ ผม ขอ ให้ เห็น ผล ก็ คือ ประมาณ ว่า…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
179,2:59,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] ได้ค่ะ มีคำถาม เพราะว่า ตอนเนี้ย ทาง เอ…,,[Speaker 1] คือ ผม ขอ ให้ เห็น ผล ก็ คือ ประมาณ ว่า…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
180,3:00,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] ได้ค่ะ มีคำถาม เพราะว่า ตอนเนี้ย ทาง เอ…,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
181,3:01,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] ได้ค่ะ มีคำถาม เพราะว่า ตอนเนี้ย ทาง เอ…,,[Speaker 1] เข้า มา คือ หมาย ถึง ว่า คุณ คุณ ปุ้ม อ…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
182,3:02,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] อ๋อ เออว่ะ เออ มัน มันจะ ขาด หรือเปล่า …,,[Speaker 1] เข้า มา คือ หมาย ถึง ว่า คุณ คุณ ปุ้ม อ…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
183,3:03,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] อ๋อ เออว่ะ เออ มัน มันจะ ขาด หรือเปล่า …,,[Speaker 1] เข้า มา คือ หมาย ถึง ว่า คุณ คุณ ปุ้ม อ…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
184,3:04,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] อ๋อ เออว่ะ เออ มัน มันจะ ขาด หรือเปล่า …,,[Speaker 1] เข้า มา คือ หมาย ถึง ว่า คุณ คุณ ปุ้ม อ…,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
185,3:05,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] อ๋อ เออว่ะ เออ มัน มันจะ ขาด หรือเปล่า …,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
186,3:06,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] อ๋อ เออว่ะ เออ มัน มันจะ ขาด หรือเปล่า …,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
187,3:07,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] อ๋อ เออว่ะ เออ มัน มันจะ ขาด หรือเปล่า …,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
188,3:08,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] อ๋อ เออว่ะ เออ มัน มันจะ ขาด หรือเปล่า …,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
189,3:09,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] มีรายการด้วย เออ ใช่ PR มุกเพศเลย,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
190,3:10,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] มีรายการด้วย เออ ใช่ PR มุกเพศเลย,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
191,3:11,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] มีรายการด้วย เออ ใช่ PR มุกเพศเลย,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
192,3:12,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] มีรายการด้วย เออ ใช่ PR มุกเพศเลย,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
193,3:13,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] มีรายการด้วย เออ ใช่ PR มุกเพศเลย,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
194,3:14,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] มีรายการด้วย เออ ใช่ PR มุกเพศเลย,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
195,3:15,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 1] มีรายการด้วย เออ ใช่ PR มุกเพศเลย,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
196,3:16,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] เออ ก็ ยุ่ง หนัก งานเลยน่าจะ ไม่ค่ะ ก็อ…,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
197,3:17,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] เออ ก็ ยุ่ง หนัก งานเลยน่าจะ ไม่ค่ะ ก็อ…,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
198,3:18,[Speaker 4] ถ้างั้นก็ไป ไปแทรกตรงวันที่ 21 อ่ะ แล้ว…,[Speaker 4] ถ้าอย่างนั้นก็ไป ไปแทรกตรงในวันที่ 21 แ…,[Speaker 2] เออ ก็ ยุ่ง หนัก งานเลยน่าจะ ไม่ค่ะ ก็อ…,,,[Speaker 5] ถ้า งั้น ก็ ไป ไป ใส่ เข้า ไป วันที่ 21,
