second,mm_ss,gemini-3.6-flash,gemini-3.5-flash,gemini-3.5-flash-lite,gemini-3-flash,gemini-3.1-flash-lite,gemini-2.5-flash,gemini-2.5-flash-lite
119,1:59,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3 มัน…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ซึ่งเอมข้อ 1 ข้อ 2 ข้อ 3 จริงไม่ได้ง่าย…,[CEO Poom] เรา สร้าง trust กับ ลูก ค้า ให้ ได้ ทำ …,
120,2:00,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3 มัน…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ซึ่งเอมข้อ 1 ข้อ 2 ข้อ 3 จริงไม่ได้ง่าย…,[CEO Poom] เรา สร้าง trust กับ ลูก ค้า ให้ ได้ ทำ …,
121,2:01,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3 มัน…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] เรา สร้าง trust กับ ลูก ค้า ให้ ได้ ทำ …,
122,2:02,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3 มัน…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,,
123,2:03,[Speaker 1] ถ้าเราทำที่แท้จริงของเราได้ ในข้อ 3 มัน…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,,
124,2:04,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] ซึ่ง เกม ข้อ 1 ข้อ 2 ข้อ 3 จริง ไม่ ได้…,
125,2:05,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] ซึ่ง เกม ข้อ 1 ข้อ 2 ข้อ 3 จริง ไม่ ได้…,
126,2:06,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] ซึ่ง เกม ข้อ 1 ข้อ 2 ข้อ 3 จริง ไม่ ได้…,
127,2:07,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,,
128,2:08,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] แต่ ส่วน ตัว พุ่ง แอด CEO อ่ะ ค่ะ,
129,2:09,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] แต่ ส่วน ตัว พุ่ง แอด CEO อ่ะ ค่ะ,
130,2:10,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,,
131,2:11,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
132,2:12,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
133,2:13,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
134,2:14,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
135,2:15,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
136,2:16,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
137,2:17,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
138,2:18,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
139,2:19,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
140,2:20,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
141,2:21,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] ปุ้มว่าด้วยความที่ทีมงานปัจจุบันต้องยอม…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
142,2:22,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] เลยรวมตัวกันไปกลายเป็นผู้หญิงไม่สวยเลย …,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
143,2:23,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] แต่ทั้ง 5 ท่านเนี่ยเหมือนเป็นตาที่สวย จ…,,[Speaker 1] เลยรวมตัวกันไปกลายเป็นผู้หญิงไม่สวยเลย …,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
144,2:24,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] แต่ทั้ง 5 ท่านเนี่ยเหมือนเป็นตาที่สวย จ…,,[Speaker 1] เลยรวมตัวกันไปกลายเป็นผู้หญิงไม่สวยเลย …,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
145,2:25,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] แต่ทั้ง 5 ท่านเนี่ยเหมือนเป็นตาที่สวย จ…,,[Speaker 1] เลยรวมตัวกันไปกลายเป็นผู้หญิงไม่สวยเลย …,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
146,2:26,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] แต่ทั้ง 5 ท่านเนี่ยเหมือนเป็นตาที่สวย จ…,,[Speaker 1] เลยรวมตัวกันไปกลายเป็นผู้หญิงไม่สวยเลย …,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
147,2:27,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] มันรวมอยู่นี้หน้าเดียวแล้วดันมี CEO ที่…,,[Speaker 1] และปุ้มตั้งใจที่ปุ้มไม่เข้าประชุมวันนี้…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
148,2:28,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] มันรวมอยู่นี้หน้าเดียวแล้วดันมี CEO ที่…,,[Speaker 1] และปุ้มตั้งใจที่ปุ้มไม่เข้าประชุมวันนี้…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
149,2:29,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] มันรวมอยู่นี้หน้าเดียวแล้วดันมี CEO ที่…,,[Speaker 1] และปุ้มตั้งใจที่ปุ้มไม่เข้าประชุมวันนี้…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
150,2:30,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] มันรวมอยู่นี้หน้าเดียวแล้วดันมี CEO ที่…,,[Speaker 1] และปุ้มตั้งใจที่ปุ้มไม่เข้าประชุมวันนี้…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
151,2:31,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] มันรวมอยู่นี้หน้าเดียวแล้วดันมี CEO ที่…,,[Speaker 1] และปุ้มตั้งใจที่ปุ้มไม่เข้าประชุมวันนี้…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
152,2:32,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] มันรวมอยู่นี้หน้าเดียวแล้วดันมี CEO ที่…,,[Speaker 1] และปุ้มตั้งใจที่ปุ้มไม่เข้าประชุมวันนี้…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
153,2:33,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] มันรวมอยู่นี้หน้าเดียวแล้วดันมี CEO ที่…,,[Speaker 1] และปุ้มตั้งใจที่ปุ้มไม่เข้าประชุมวันนี้…,[CEO Poom] พุ่ง ว่า ด้วย ความ ที่ ทีม งาน ปัจจุบัน…,
154,2:34,[Speaker 1] ซึ่ง aim ข้อ 1 ข้อ 2 ข้อ 3 จริงๆ ไม่ได้…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] และปุ้มตั้งใจที่ปุ้มไม่เข้าประชุมวันนี้…,,
155,2:35,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
156,2:36,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ก็ต้องฝากทีมงานวันนี้แล้วพุ่มตั้งใจพุ่ม…,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,[CEO Poom] ก็ ต้อง ฝาก ทีม งาน วัน นี้ แล้ว พุ่ม ต…,
157,2:37,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ก็ต้องฝากทีมงานวันนี้แล้วพุ่มตั้งใจพุ่ม…,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,[CEO Poom] ก็ ต้อง ฝาก ทีม งาน วัน นี้ แล้ว พุ่ม ต…,
158,2:38,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ก็ต้องฝากทีมงานวันนี้แล้วพุ่มตั้งใจพุ่ม…,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,[CEO Poom] ก็ ต้อง ฝาก ทีม งาน วัน นี้ แล้ว พุ่ม ต…,
159,2:39,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,[Speaker 1] ก็ต้องฝากทีมงานวันนี้แล้วพุ่มตั้งใจพุ่ม…,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,[CEO Poom] ก็ ต้อง ฝาก ทีม งาน วัน นี้ แล้ว พุ่ม ต…,
160,2:40,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
161,2:41,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
162,2:42,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
163,2:43,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
164,2:44,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
165,2:45,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
166,2:46,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
167,2:47,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
168,2:48,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
169,2:49,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
170,2:50,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
171,2:51,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
172,2:52,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
173,2:53,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
174,2:54,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็จริงๆต้องกราบขอบคุณท่านประธานที่เ…,,
175,2:55,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 1] เน่ามาแล้วจะทำขยะให้มันดีก็คงทำไม่ได้ น…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
176,2:56,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 2] ก็อันนี้ก็ถือว่าให้บันทึกไว้ รับทราบแนว…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
177,2:57,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 2] ก็อันนี้ก็ถือว่าให้บันทึกไว้ รับทราบแนว…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
178,2:58,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 2] ก็อันนี้ก็ถือว่าให้บันทึกไว้ รับทราบแนว…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
179,2:59,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 2] ก็อันนี้ก็ถือว่าให้บันทึกไว้ รับทราบแนว…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
180,3:00,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 2] ก็อันนี้ก็ถือว่าให้บันทึกไว้ รับทราบแนว…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
181,3:01,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 2] ก็อันนี้ก็ถือว่าให้บันทึกไว้ รับทราบแนว…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
182,3:02,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 2] ก็อันนี้ก็ถือว่าให้บันทึกไว้ รับทราบแนว…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
183,3:03,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 3] ไม่มีครับ ไม่มี ไม่ๆ จริงๆ สวยหมดทุกคนน…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
184,3:04,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 3] ไม่มีครับ ไม่มี ไม่ๆ จริงๆ สวยหมดทุกคนน…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
185,3:05,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 3] ไม่มีครับ ไม่มี ไม่ๆ จริงๆ สวยหมดทุกคนน…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
186,3:06,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 3] ไม่มีครับ ไม่มี ไม่ๆ จริงๆ สวยหมดทุกคนน…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
187,3:07,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 3] ไม่มีครับ ไม่มี ไม่ๆ จริงๆ สวยหมดทุกคนน…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
188,3:08,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 3] ไม่มีครับ ไม่มี ไม่ๆ จริงๆ สวยหมดทุกคนน…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
189,3:09,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 3] ไม่มีครับ ไม่มี ไม่ๆ จริงๆ สวยหมดทุกคนน…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
190,3:10,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 3] ไม่มีครับ ไม่มี ไม่ๆ จริงๆ สวยหมดทุกคนน…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
191,3:11,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 3] ไม่มีครับ ไม่มี ไม่ๆ จริงๆ สวยหมดทุกคนน…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
192,3:12,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 3] ไม่มีครับ ไม่มี ไม่ๆ จริงๆ สวยหมดทุกคนน…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
193,3:13,[Speaker 1] ก็ต้องฝากทีมงานตรงนี้ แล้วอุ้มตั้งใจที่…,[Speaker 3] ไม่มีครับ ไม่มี ไม่ๆ จริงๆ สวยหมดทุกคนน…,,,[Speaker 1] แล้วก็อยากให้เรื่องนี้มันถึงอยู่ในรายงา…,,
